Country,Update,Confirmed,Deaths,Recovered
Italy,2020-02-25T18:55:32,322,10,1
Germany,2020-02-25T21:33:02,17,0,14
France,2020-02-25T21:23:03,14,1,11
UK,2020-02-24T08:33:02,13,0,8
Spain,2020-02-25T21:33:02,6,0,2
Austria,2020-02-25T18:55:32,2,0,0
Russia,2020-02-12T14:43:03,2,0,2
Belgium,2020-02-17T04:23:06,1,0,1
Croatia,2020-02-25T18:55:32,1,0,0
Finland,2020-02-12T00:03:12,1,0,1
Sweden,2020-02-01T02:13:26,1,0,0
Switzerland,2020-02-25T19:13:21,1,0,0
