Country,Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Italy,2020-03-02T20:23:16,2036,52,149,43,12
France,2020-03-02T20:33:02,191,3,12,47,2
Spain,2020-03-02T14:43:05,120,0,2,40,-4
Switzerland,2020-03-02T22:33:09,42,0,0,46.8182,8.2275
UK,2020-03-02T20:33:02,40,0,8,55,-3
Norway,2020-03-02T20:53:02,25,0,0,60.472,8.4689
Austria,2020-03-02T21:23:04,18,0,0,47.5162,14.5501
Netherlands,2020-03-02T20:53:02,18,0,0,52.1326,5.2913
Sweden,2020-03-02T20:53:02,15,0,0,63,16
Israel,2020-03-01T23:23:02,10,0,1,31,35
Belgium,2020-03-02T20:53:02,8,0,1,50.8333,4
San Marino,2020-03-02T01:03:12,8,0,0,43.9424,12.4578
Croatia,2020-03-01T23:33:03,7,0,0,45.1,15.2
Greece,2020-03-01T23:23:02,7,0,0,39.0742,21.8243
Finland,2020-03-01T23:23:02,6,0,1,64,26
Iceland,2020-03-02T22:33:09,6,0,0,64.9631,-19.0208
Denmark,2020-03-01T23:33:03,4,0,0,56.2639,9.5018
Czech Republic,2020-03-02T16:33:02,3,0,0,49.8175,15.473
Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569
Romania,2020-02-28T15:33:03,3,0,0,45.9432,24.9668
Russia,2020-03-02T21:23:04,3,0,2,60,90
Portugal,2020-03-02T22:43:02,2,0,0,39.3999,-8.2245
Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218
Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382
Belarus,2020-02-28T16:23:03,1,0,0,53.7098,27.9534
Estonia,2020-02-27T16:23:03,1,0,0,58.5953,25.0136
Ireland,2020-03-01T07:13:07,1,0,0,53.1424,-7.6921
Latvia,2020-03-02T20:13:49,1,0,0,56.8796,24.6032
Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
Luxembourg,2020-03-01T07:13:07,1,0,0,49.8153,6.1296
Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167
North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453
