Country,Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Italy,2020-03-05T17:43:03,3858,148,414,43,12
Germany,2020-03-05T17:43:03,482,0,16,51,9
France,2020-03-05T15:13:22,377,6,12,47,2
Spain,2020-03-05T17:43:03,259,3,2,40,-4
UK,2020-03-05T18:03:03,115,1,8,55,-3
Switzerland,2020-03-05T17:43:03,114,1,3,46.8182,8.2275
Sweden,2020-03-05T18:03:03,94,0,0,63,16
Norway,2020-03-05T17:43:03,87,0,0,60.472,8.4689
Netherlands,2020-03-05T14:23:03,82,0,0,52.1326,5.2913
Belgium,2020-03-05T13:53:03,50,0,1,50.8333,4
Austria,2020-03-05T17:53:02,41,0,0,47.5162,14.5501
Iceland,2020-03-05T13:53:03,34,0,0,64.9631,-19.0208
Greece,2020-03-05T14:23:03,31,0,0,39.0742,21.8243
San Marino,2020-03-05T13:53:03,21,1,0,43.9424,12.4578
Israel,2020-03-05T17:53:02,16,0,1,31,35
Czech Republic,2020-03-05T17:53:02,12,0,0,49.8175,15.473
Finland,2020-03-05T13:53:03,12,0,1,64,26
Croatia,2020-03-04T16:53:02,10,0,0,45.1667,15.5
Denmark,2020-03-04T00:03:15,10,0,0,56.2639,9.5018
Portugal,2020-03-05T13:53:03,8,0,0,39.3999,-8.2245
Belarus,2020-03-04T12:43:03,6,0,0,53.7098,27.9534
Ireland,2020-03-04T21:13:07,6,0,0,53.1424,-7.6921
Romania,2020-03-05T06:23:06,6,0,1,46,25
Georgia,2020-03-05T13:53:03,4,0,0,42.3154,43.3569
Palestine,2020-03-05T13:53:03,4,0,0,31.9522,35.2332
Russia,2020-03-05T13:53:03,4,0,2,60,90
Estonia,2020-03-05T13:53:03,3,0,0,58.5953,25.0136
Bosnia and Herzegovina,2020-03-05T17:13:30,2,0,0,43.9159,17.6791
Hungary,2020-03-05T17:13:27,2,0,0,47.1625,19.5033
Slovenia,2020-03-05T17:13:30,2,0,0,46.1512,14.9955
Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218
Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382
Faroe Islands,2020-03-04T12:53:03,1,0,0,61.8926,-6.9118
Gibraltar,2020-03-04T13:03:13,1,0,0,36.1408,-5.3536
Latvia,2020-03-04T01:33:07,1,0,0,56.8796,24.6032
Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55
Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
Luxembourg,2020-03-03T00:23:16,1,0,0,49.8144,6.1317
Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167
North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453
Poland,2020-03-04T15:13:18,1,0,0,51.9194,19.1451
Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656
