Country,Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Italy,2020-03-04T19:23:03,3089,107,276,43,12
France,2020-03-04T20:43:02,285,4,12,47,2
Germany,2020-03-04T19:33:03,262,0,16,51,9
Spain,2020-03-04T20:43:02,222,2,2,40,-4
Switzerland,2020-03-04T19:33:03,90,0,3,46.8182,8.2275
UK,2020-03-04T19:33:03,85,0,8,55,-3
Netherlands,2020-03-04T12:33:03,38,0,0,52.1326,5.2913
Sweden,2020-03-04T12:33:03,35,0,0,63,16
Austria,2020-03-04T19:33:03,29,0,0,47.5162,14.5501
Iceland,2020-03-04T19:33:03,26,0,0,64.9631,-19.0208
Belgium,2020-03-04T12:33:03,23,0,1,50.8333,4
San Marino,2020-03-04T19:33:03,16,1,0,43.9424,12.4578
Israel,2020-03-04T12:43:03,15,0,1,31,35
Croatia,2020-03-04T16:53:02,10,0,0,45.1667,15.5
Denmark,2020-03-04T00:03:15,10,0,0,56.2639,9.5018
Greece,2020-03-04T19:33:03,9,0,0,39.0742,21.8243
Czech Republic,2020-03-04T19:33:03,8,0,0,49.8175,15.473
Belarus,2020-03-04T12:43:03,6,0,0,53.7098,27.9534
Finland,2020-03-01T23:23:02,6,0,1,64,26
Ireland,2020-03-04T21:13:07,6,0,0,53.1424,-7.6921
Portugal,2020-03-04T12:43:03,5,0,0,39.3999,-8.2245
Romania,2020-03-04T00:53:02,4,0,1,46,25
Azerbaijan,2020-03-01T02:43:03,3,0,0,40.1431,47.5769
Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569
Russia,2020-03-02T21:23:04,3,0,2,60,90
Estonia,2020-03-03T23:53:03,2,0,0,58.5953,25.0136
Hungary,2020-03-04T19:33:03,2,0,0,47.1625,19.5033
Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218
Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382
Faroe Islands,2020-03-04T12:53:03,1,0,0,61.8926,-6.9118
Gibraltar,2020-03-04T13:03:13,1,0,0,36.1408,-5.3536
Latvia,2020-03-04T01:33:07,1,0,0,56.8796,24.6032
Liechtenstein,2020-03-04T01:33:07,1,0,0,47.14,9.55
Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
Luxembourg,2020-03-03T00:23:16,1,0,0,49.8144,6.1317
Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167
North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453
Poland,2020-03-04T15:13:18,1,0,0,51.9194,19.1451
Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656
