Country,Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Italy,2020-03-03T20:03:06,2502,79,160,43,12
France,2020-03-03T15:23:03,204,4,12,47,2
Germany,2020-03-03T20:03:06,196,0,16,51,9
Spain,2020-03-03T23:53:03,165,1,2,40,-4
Switzerland,2020-03-03T16:43:02,56,0,2,46.8182,8.2275
UK,2020-03-03T15:13:26,51,0,8,55,-3
Norway,2020-03-03T14:33:03,32,0,0,60.472,8.4689
Netherlands,2020-03-03T15:13:26,24,0,0,52.1326,5.2913
Austria,2020-03-03T15:13:26,21,0,0,47.5162,14.5501
Sweden,2020-03-03T15:13:26,21,0,0,63,16
Belgium,2020-03-03T15:13:26,13,0,1,50.8333,4
Israel,2020-03-03T04:23:07,12,0,1,31,35
Iceland,2020-03-03T15:13:26,11,0,0,64.9631,-19.0208
San Marino,2020-03-03T15:23:03,10,1,0,43.9424,12.4578
Croatia,2020-03-03T09:53:08,9,0,0,45.1667,15.5
Greece,2020-03-01T23:23:02,7,0,0,39.0742,21.8243
Denmark,2020-03-03T15:13:26,6,0,0,56.2639,9.5018
Finland,2020-03-01T23:23:02,6,0,1,64,26
Czech Republic,2020-03-03T15:13:26,5,0,0,49.8175,15.473
Azerbaijan,2020-03-01T02:43:03,3,0,0,40.1431,47.5769
Georgia,2020-03-01T15:43:03,3,0,0,42.3154,43.3569
Romania,2020-03-03T00:23:16,3,0,0,46,25
Russia,2020-03-02T21:23:04,3,0,2,60,90
Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605
Egypt,2020-03-01T23:33:03,2,0,1,26,30
Estonia,2020-03-03T23:53:03,2,0,0,58.5953,25.0136
Indonesia,2020-03-02T18:03:04,2,0,0,-0.7893,113.9213
Ireland,2020-03-03T23:53:03,2,0,0,53.1424,-7.6921
Portugal,2020-03-03T15:33:02,2,0,0,39.3999,-8.2245
Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218
Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382
Belarus,2020-02-28T16:23:03,1,0,0,53.7098,27.9534
Latvia,2020-03-02T20:13:49,1,0,0,56.8796,24.6032
Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
Luxembourg,2020-03-03T00:23:16,1,0,0,49.8144,6.1317
Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167
North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453
Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656
